Instance Init Pivot Neighborhood Cost Time
N-t70f11xx_250 random first transpose 9423977 7.1e-05
N-t70f11xx_250 random first exchange 13162843 4.23984
N-t70f11xx_250 random first insert 13302080 4.39752
N-t70f11xx_250 random best transpose 9434609 0.000124
N-t70f11xx_250 random best exchange 13023711 0.636793
N-t70f11xx_250 random best insert 13235429 0.895529
N-t70f11xx_250 cw first transpose 9312700 0.001773
N-t70f11xx_250 cw first exchange 13157499 4.42369
N-t70f11xx_250 cw first insert 13319228 4.56382
N-t70f11xx_250 cw best transpose 9314030 0.001399
N-t70f11xx_250 cw best exchange 13074503 0.679778
N-t70f11xx_250 cw best insert 13201887 0.736196
N-t70l11xx_150 random first transpose 271234 2e-05
N-t70l11xx_150 random first exchange 422865 0.303079
N-t70l11xx_150 random first insert 426305 0.220143
N-t70l11xx_150 random best transpose 271234 3.7e-05
N-t70l11xx_150 random best exchange 419713 0.061707
N-t70l11xx_150 random best insert 424035 0.089525
N-t70l11xx_150 cw first transpose 283368 0.000304
N-t70l11xx_150 cw first exchange 420702 0.293026
N-t70l11xx_150 cw first insert 426308 0.213107
N-t70l11xx_150 cw best transpose 283368 0.000304
N-t70l11xx_150 cw best exchange 416388 0.073321
N-t70l11xx_150 cw best insert 422066 0.073365
N-t70l11xx_250 random first transpose 670363 3.7e-05
N-t70l11xx_250 random first exchange 1087354 4.26429
N-t70l11xx_250 random first insert 1082827 2.93371
N-t70l11xx_250 random best transpose 670421 6.3e-05
N-t70l11xx_250 random best exchange 1074060 0.748536
N-t70l11xx_250 random best insert 1081829 0.832726
N-t70l11xx_250 cw first transpose 673693 0.001536
N-t70l11xx_250 cw first exchange 1082615 4.19402
N-t70l11xx_250 cw first insert 1078727 3.37754
N-t70l11xx_250 cw best transpose 673733 0.001439
N-t70l11xx_250 cw best exchange 1071948 0.720624
N-t70l11xx_250 cw best insert 1080133 0.812153
N-t70n11xx_150 random first transpose 593115 3.5e-05
N-t70n11xx_150 random first exchange 917529 0.43298
N-t70n11xx_150 random first insert 929342 0.445026
N-t70n11xx_150 random best transpose 594016 4.8e-05
N-t70n11xx_150 random best exchange 910062 0.075242
N-t70n11xx_150 random best insert 923600 0.094647
N-t70n11xx_150 cw first transpose 583366 0.000304
N-t70n11xx_150 cw first exchange 917101 0.388947
N-t70n11xx_150 cw first insert 924224 0.353618
N-t70n11xx_150 cw best transpose 583358 0.000368
N-t70n11xx_150 cw best exchange 902776 0.068874
N-t70n11xx_150 cw best insert 915466 0.099375
N-t70n11xx_250 random first transpose 1650484 0.000122
N-t70n11xx_250 random first exchange 2377866 5.03065
N-t70n11xx_250 random first insert 2376681 4.14956
N-t70n11xx_250 random best transpose 1663338 0.000164
