Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-t75k11xx_250	0.001457	0.002916	0.008641	0.010342	6.24474	1.18029	5.34317	1.08688	5.90744	1.23265	3.85038	1.02091	3.68601	2.28623											
N-t75n11xx_150	0.000364	0.000704	0.001837	0.002183	0.444754	0.095616	0.404735	0.087521	0.557616	0.109842	0.360928	0.127631	0.249773	0.256592											
N-t75n11xx_250	0.001662	0.002699	0.008486	0.009818	6.01795	0.958174	5.01648	0.810972	5.00201	1.20816	3.58704	0.88075	3.3058	2.75879											
N-tiw56n54_150	0.000509	0.00091	0.002121	0.002376	0.440049	0.098257	0.304013	0.074957	0.497227	0.149663	0.304755	0.111237	0.1741	0.17626											
N-tiw56n54_250	0.002315	0.004164	0.010164	0.010993	7.10521	1.13802	5.47922	0.767142	5.72119	1.21117	4.08093	0.941736	2.52345	2.26793											
N-tiw56n58_150	0.000549	0.001066	0.002155	0.002668	0.347561	0.087618	0.290266	0.083331	0.503371	0.134353	0.298247	0.119134	0.205832	0.173389											
N-tiw56n58_250	0.001626	0.002869	0.008528	0.009573	6.82342	0.805764	5.79316	0.979454	5.9802	1.09081	3.87403	1.09983	2.69285	2.53874											
N-tiw56n62_150	0.000546	0.000901	0.00209	0.002548	0.560721	0.121995	0.325467	0.098239	0.618557	0.133028	0.257762	0.106014	0.238574	0.166702											
N-tiw56n62_250	0.001937	0.003888	0.009016	0.010777	6.55847	1.16095	5.47048	0.981762	6.46729	1.23716	3.63062	0.936012	3.15525	2.34399											
N-tiw56n66_150	0.000438	0.000919	0.002007	0.002189	0.479174	0.089602	0.294719	0.068571	0.443693	0.10837	0.278031	0.102195	0.189082	0.195462											
N-tiw56n66_250	0.002251	0.00415	0.008953	0.010421	7.07578	0.988339	5.44409	1.04512	6.66903	1.28275	4.28519	1.12573	2.92056	2.37316											
N-tiw56n67_150	0.000373	0.000831	0.002093	0.002471	0.45991	0.097774	0.312206	0.084613	0.460783	0.125728	0.3015	0.123412	0.216218	0.192404											
N-tiw56n67_250	0.001875	0.003475	0.009101	0.010983	8.27789	1.15872	5.71381	1.05726	6.56453	1.04084	4.45013	1.06176	3.24408	2.29097											
N-tiw56n72_150	0.000445	0.000812	0.001973	0.00242	0.486518	0.088843	0.453974	0.082174	0.49967	0.145957	0.36591	0.103263	0.210955	0.200705											
N-tiw56n72_250	0.002183	0.003717	0.008997	0.010456	7.44626	0.923238	6.26653	1.03121	5.3417	1.09328	4.50729	0.996362	2.92279	2.50449											
N-tiw56r54_150	0.000434	0.000956	0.002012	0.00222	0.450936	0.082257	0.301342	0.080767	0.490384	0.135978	0.291917	0.111038	0.208383	0.179504											
N-tiw56r54_250	0.00151	0.003407	0.009251	0.012966	6.93497	1.0787	5.25293	0.940926	6.46063	1.15697	4.18535	1.05958	3.1464	2.37463											
N-tiw56r58_150	0.000466	0.000842	0.002226	0.002583	0.506241	0.089581	0.399618	0.078534	0.489027	0.112186	0.308904	0.11098	0.206597	0.176761											
N-tiw56r58_250	0.001728	0.003361	0.009305	0.010401	6.35712	1.01163	5.48295	1.00255	6.62487	1.29471	4.95102	1.00231	2.79788	2.03659											
N-tiw56r66_150	0.000599	0.001018	0.002145	0.002459	0.496057	0.099052	0.341438	0.094564	0.574109	0.126967	0.330447	0.132131	0.24047	0.212416											
N-tiw56r66_250	0.002248	0.003947	0.008977	0.010157	7.26714	1.10077	5.26514	0.960379	6.44418	1.36303	3.96671	1.12948	2.69488	2.45624											
N-tiw56r67_150	0.000603	0.000961	0.0024	0.002567	0.5042	0.102764	0.387352	0.092461	0.582991	0.13434	0.378737	0.099955	0.217695	0.198689											
N-tiw56r67_250	0.002272	0.003724	0.008936	0.010809	7.60299	1.08605	5.90975	0.993013	6.0052	1.2363	4.78075	1.30338	3.15556	2.69119											
