Instance Init Pivot Neighborhood Cost Time
N-t65b11xx_250 random first exchange 16760124 5.26746
N-t65b11xx_250 random first insert 16780305 4.79319
N-t65b11xx_250 random best transpose 11094873 5.9e-05
N-t65b11xx_250 random best exchange 16567664 0.775306
N-t65b11xx_250 random best insert 16880766 0.829147
N-t65b11xx_250 cw first transpose 14519074 0.004562
N-t65b11xx_250 cw first exchange 16784596 4.93813
N-t65b11xx_250 cw first insert 16852056 3.0228
N-t65b11xx_250 cw best transpose 14518427 0.004371
N-t65b11xx_250 cw best exchange 16490415 0.725713
N-t65b11xx_250 cw best insert 16845455 0.729773
N-t65d11xx_150 random first transpose 2385962 1.8e-05
N-t65d11xx_150 random first exchange 3451744 0.40292
N-t65d11xx_150 random first insert 3511088 0.373624
N-t65d11xx_150 random best transpose 2398550 2.6e-05
N-t65d11xx_150 random best exchange 3436373 0.089792
N-t65d11xx_150 random best insert 3449880 0.097582
N-t65d11xx_150 cw first transpose 2965298 0.000986
N-t65d11xx_150 cw first exchange 3448673 0.361117
N-t65d11xx_150 cw first insert 3469910 0.279318
N-t65d11xx_150 cw best transpose 2964403 0.001003
N-t65d11xx_150 cw best exchange 3431712 0.077077
N-t65d11xx_150 cw best insert 3470305 0.074942
N-t65d11xx_250 random first transpose 6291686 4.4e-05
N-t65d11xx_250 random first exchange 9075505 4.75609
N-t65d11xx_250 random first insert 9087435 4.62268
N-t65d11xx_250 random best transpose 6318920 8.3e-05
N-t65d11xx_250 random best exchange 8968092 0.764137
N-t65d11xx_250 random best insert 9105394 0.972736
N-t65d11xx_250 cw first transpose 7951098 0.004458
N-t65d11xx_250 cw first exchange 9040866 3.88436
N-t65d11xx_250 cw first insert 9146112 2.78797
N-t65d11xx_250 cw best transpose 7946678 0.004327
N-t65d11xx_250 cw best exchange 9025739 0.803078
N-t65d11xx_250 cw best insert 9143509 0.837628
N-t65f11xx_150 random first transpose 2143139 1.7e-05
N-t65f11xx_150 random first exchange 3060658 0.401128
N-t65f11xx_150 random first insert 3077304 0.402564
N-t65f11xx_150 random best transpose 2144084 2.2e-05
N-t65f11xx_150 random best exchange 3053624 0.079328
N-t65f11xx_150 random best insert 3094701 0.085196
N-t65f11xx_150 cw first transpose 2591648 0.00099
N-t65f11xx_150 cw first exchange 3053972 0.338295
N-t65f11xx_150 cw first insert 3091448 0.234056
N-t65f11xx_150 cw best transpose 2592771 0.000988
N-t65f11xx_150 cw best exchange 3050161 0.07972
N-t65f11xx_150 cw best insert 3085856 0.070821
N-t65f11xx_250 random first transpose 5792510 4.2e-05
N-t65f11xx_250 random first exchange 8149745 5.24735
N-t65f11xx_250 random first insert 8253745 4.74726
N-t65f11xx_250 random best transpose 5797863 7.6e-05
N-t65f11xx_250 random best exchange 8104673 0.877396
N-t65f11xx_250 random best insert 8196647 0.884646
N-t65f11xx_250 cw first transpose 7009245 0.004769
